longitude,latitude,Planting Site Width,Planting Site Length,Genus,Species,Common Name,Diameter,Tree Height,Canopy Height
-75.1597230177,39.9309277563,,,Fraxinus,pennsylvanica,Green ash,,,
-75.2171439823,39.939178976,,,Prunus,subhirtella,Higan cherry,,,
-75.2166169035,39.9422319182,,,Quercus,palustris,Pin oak,,,
-75.2166169035,39.9422319182,,,Quercus,palustris,Pin oak,,,
-75.2227042415,39.951451363,,,Chionanthus,retusus,Chinese fringe tree,,,
-75.1547473901,39.9316520739,,,Prunus,subhirtella,Higan cherry,,,
-75.1805224009,39.9962911737,,,Prunus,subhirtella,Higan cherry,,,
-75.1415982466,39.9789450385,,,Prunus,subhirtella,Higan cherry,,,
-75.1284918453,39.9775077049,,,Prunus,subhirtella,Higan cherry,,,
-75.0837026743,40.0563016093,,,Prunus,subhirtella,Higan cherry,,,
-75.1738844628,39.969509854,,,Prunus,subhirtella,Higan cherry,,,
-75.1253522145,39.9745036671,3,4,Tilia,mongolica,Mongolian linden,,,
-75.170068603,39.9482420327,,,Prunus,subhirtella,Higan cherry,,,
-75.0809474248,40.0794803149,,,Quercus,palustris,Pin oak,,,
-75.1527294849,39.9738922972,3,3,Prunus,subhirtella,Higan cherry,,,
-75.0935194804,40.0232941139,,,Prunus,subhirtella,Higan cherry,,,
-75.070342748,40.0227833023,3,3,Prunus,subhirtella,Higan cherry,,,
-75.1164867279,39.9777295694,3,3,Prunus,subhirtella,Higan cherry,,,
-75.1303297551,39.982459267,,,Prunus,subhirtella,Higan cherry,,,
-75.1306613423,40.0505775727,,,Prunus,subhirtella,Higan cherry,,,
-75.1308397317,40.0506010692,,,Prunus,subhirtella,Higan cherry,,,
-75.1728761767,40.0016984658,3,3,Prunus,subhirtella,Higan cherry,,,
-75.1585711742,39.9897942255,3,3,Prunus,subhirtella,Higan cherry,,,
-75.1036301322,39.9867195064,4,4,Prunus,subhirtella,Higan cherry,,,
-75.102556813,39.9916214123,,,Prunus,subhirtella,Higan cherry,,,
-75.2298687062,39.9659376624,,,Prunus,subhirtella,Higan cherry,,,
-75.2197181203,39.955247344,,,Prunus,subhirtella,Higan cherry,,,
-75.243832184,39.9572977011,,,Prunus,subhirtella,Higan cherry,,,
-75.2197618683,39.9429321745,,,Prunus,subhirtella,Higan cherry,,,
-75.1721649724,39.9286809845,3,3,Prunus,subhirtella,Higan cherry,,,
-75.1650245099,39.9300910247,,,Prunus,subhirtella,Higan cherry,,,
-75.2853972883,39.9994294808,4,4,Fraxinus,pennsylvanica,Green ash,38,,
-75.2575315533,40.0463671105,,,Platanus,occidentalis,American sycamore,35,,
-75.2619644598,39.983698716,6,6,Quercus,palustris,Pin oak,23,,
-75.242727288,40.0066703298,5,5,,,,,,
-75.2363176942,40.0194439758,5,5,,,,,,
-75.303796875,40.0178290865,5,5,,,,,,
-75.2230817245,40.0029384877,10,10,,,,,,
-75.3074796067,40.0201071435,2,2,,,,,,
-75.2394042681,40.010202343,5,5,Platanus,occidentalis,American sycamore,26,,
-75.3181676807,40.0256172476,12,12,Fraxinus,pennsylvanica,Green ash,6,,
-75.2343591511,39.997895527,3,3,Platanus,occidentalis,American sycamore,26,,
-75.323881276,40.0262482128,4,4,,,,,,
-75.2435531371,40.0037767941,5,5,Platanus,occidentalis,American sycamore,0,,
-75.2424375815,39.9938221747,6,6,,,,,,
-75.2405446267,40.01009196,4,4,,,,,,
-75.2385888428,40.0093196692,5,5,,,,,,
-75.2396425097,40.0089802263,3,3,,,,,,
-75.2389790924,40.0060571216,6,6,Quercus,palustris,Pin oak,12,,
-75.2185986931,40.00714581,3,3,,,,,,
-75.2166710669,40.0106940468,4,4,,,,,,
-75.3090003653,40.0435091819,,,Quercus,palustris,Pin oak,32,,
-75.2493619632,40.0061129953,,,,,,,,
-75.2959173876,40.0637735891,,,,,,,,
-75.2513301845,40.006417904,,,,,,,,
-75.2480053988,40.0296121227,,,,,,,,
-75.2355143865,40.0237737418,,,,,,,,
-75.3274358461,40.0347447842,,,Fraxinus,pennsylvanica,Green ash,16,,
-75.261795829,39.9963581618,,,,,,,,
-75.2664290181,40.0191445833,,,,,,,,
